"Element","Epics Channel Access Name"
"CAVL081","ACCL:L2B:0810"
"CAVL082","ACCL:L2B:0820"
"CAVL083","ACCL:L2B:0830"
"CAVL084","ACCL:L2B:0840"
"CAVL085","ACCL:L2B:0850"
"CAVL086","ACCL:L2B:0860"
"CAVL087","ACCL:L2B:0870"
"CAVL088","ACCL:L2B:0880"
"CMB08","BPMS:L2B:0883"
"QCM08","QUAD:L2B:0885"
"XCM08","XCOR:L2B:0885"
"YCM08","YCOR:L2B:0885"
"CAVL091","ACCL:L2B:0910"
"CAVL092","ACCL:L2B:0920"
"CAVL093","ACCL:L2B:0930"
"CAVL094","ACCL:L2B:0940"
"CAVL095","ACCL:L2B:0950"
"CAVL096","ACCL:L2B:0960"
"CAVL097","ACCL:L2B:0970"
"CAVL098","ACCL:L2B:0980"
"CMB09","BPMS:L2B:0983"
"QCM09","QUAD:L2B:0985"
"XCM09","XCOR:L2B:0985"
"YCM09","YCOR:L2B:0985"
"CAVL101","ACCL:L2B:1010"
"CAVL102","ACCL:L2B:1020"
"CAVL103","ACCL:L2B:1030"
"CAVL104","ACCL:L2B:1040"
"CAVL105","ACCL:L2B:1050"
"CAVL106","ACCL:L2B:1060"
"CAVL107","ACCL:L2B:1070"
"CAVL108","ACCL:L2B:1080"
"CMB10","BPMS:L2B:1083"
"QCM10","QUAD:L2B:1085"
"XCM10","XCOR:L2B:1085"
"YCM10","YCOR:L2B:1085"
"CAVL111","ACCL:L2B:1110"
"CAVL112","ACCL:L2B:1120"
"CAVL113","ACCL:L2B:1130"
"CAVL114","ACCL:L2B:1140"
"CAVL115","ACCL:L2B:1150"
"CAVL116","ACCL:L2B:1160"
"CAVL117","ACCL:L2B:1170"
"CAVL118","ACCL:L2B:1180"
"CMB11","BPMS:L2B:1183"
"QCM11","QUAD:L2B:1185"
"XCM11","XCOR:L2B:1185"
"YCM11","YCOR:L2B:1185"
"CAVL121","ACCL:L2B:1210"
"CAVL122","ACCL:L2B:1220"
"CAVL123","ACCL:L2B:1230"
"CAVL124","ACCL:L2B:1240"
"CAVL125","ACCL:L2B:1250"
"CAVL126","ACCL:L2B:1260"
"CAVL127","ACCL:L2B:1270"
"CAVL128","ACCL:L2B:1280"
"CMB12","BPMS:L2B:1283"
"QCM12","QUAD:L2B:1285"
"XCM12","XCOR:L2B:1285"
"YCM12","YCOR:L2B:1285"
"CAVL131","ACCL:L2B:1310"
"CAVL132","ACCL:L2B:1320"
"CAVL133","ACCL:L2B:1330"
"CAVL134","ACCL:L2B:1340"
"CAVL135","ACCL:L2B:1350"
"CAVL136","ACCL:L2B:1360"
"CAVL137","ACCL:L2B:1370"
"CAVL138","ACCL:L2B:1380"
"CMB13","BPMS:L2B:1383"
"QCM13","QUAD:L2B:1385"
"XCM13","XCOR:L2B:1385"
"YCM13","YCOR:L2B:1385"
"CAVL141","ACCL:L2B:1410"
"CAVL142","ACCL:L2B:1420"
"CAVL143","ACCL:L2B:1430"
"CAVL144","ACCL:L2B:1440"
"CAVL145","ACCL:L2B:1450"
"CAVL146","ACCL:L2B:1460"
"CAVL147","ACCL:L2B:1470"
"CAVL148","ACCL:L2B:1480"
"CMB14","BPMS:L2B:1483"
"QCM14","QUAD:L2B:1485"
"XCM14","XCOR:L2B:1485"
"YCM14","YCOR:L2B:1485"
"CAVL151","ACCL:L2B:1510"
"CAVL152","ACCL:L2B:1520"
"CAVL153","ACCL:L2B:1530"
"CAVL154","ACCL:L2B:1540"
"CAVL155","ACCL:L2B:1550"
"CAVL156","ACCL:L2B:1560"
"CAVL157","ACCL:L2B:1570"
"CAVL158","ACCL:L2B:1580"
"CMB15","BPMS:L2B:1583"
"QCM15","QUAD:L2B:1585"
"XCM15","XCOR:L2B:1585"
"YCM15","YCOR:L2B:1585"
"RFB2C00","BPMS:L2B:1593"
"XC2C00","XCOR:BC2B:126"
"YC2C00","YCOR:BC2B:137"
"BPM2C01","BPMS:BC2B:150"
"Q2C01","QUAD:BC2B:150"
"RFB2C01","BPMS:BC2B:151"
"BCX21","BEND:BC2B:200"
"CQ21B","QUAD:BC2B:250"
"BCX22","BEND:BC2B:500"
"BPM21B","BPMS:BC2B:530"
"CE21B","COLL:BC2B:535"
"OTR21B","PROF:BC2B:545"
"WS21B","WIRE:BC2B:570"
"BCX23","BEND:BC2B:600"
"CQ22B","QUAD:BC2B:850"
"BCX24","BEND:BC2B:900"
"BZ21B","BLEN:BC2B:950"
"BPME201","BPMS:EMIT2:150"
"QE201","QUAD:EMIT2:150"
"YCE201","YCOR:EMIT2:161"
"IM21B","IMON:EMIT2:170"
"BPME202","BPMS:EMIT2:300"
"QE202","QUAD:EMIT2:300"
"XCE202","XCOR:EMIT2:310"
"WSEMIT2","WIRE:EMIT2:600"
"BPME203","BPMS:EMIT2:800"
"QE203","QUAD:EMIT2:800"
"YCE203","YCOR:EMIT2:811"
"BPME204","BPMS:EMIT2:900"
"QE204","QUAD:EMIT2:900"
"XCE204","XCOR:EMIT2:912"
"CAVL161","ACCL:L3B:1610"
"CAVL162","ACCL:L3B:1620"
"CAVL163","ACCL:L3B:1630"
"CAVL164","ACCL:L3B:1640"
"CAVL165","ACCL:L3B:1650"
"CAVL166","ACCL:L3B:1660"
"CAVL167","ACCL:L3B:1670"
"CAVL168","ACCL:L3B:1680"
"CMB16","BPMS:L3B:1683"
"QCM16","QUAD:L3B:1685"
"XCM16","XCOR:L3B:1685"
"YCM16","YCOR:L3B:1685"
