KLYS:LI21:41 K21_4B LCAV 60.438888 2075.121400  LI21 K21_4  CU_HXR LCLS L2
KLYS:LI21:41 K21_4C LCAV 63.482988 2078.165500  LI21 K21_4  CU_HXR LCLS L2
KLYS:LI21:41 K21_4D LCAV 66.527088 2081.209600  LI21 K21_4  CU_HXR LCLS L2
QUAD:LI21:501 Q21501 QUAD 66.614688 2081.297200  LI21 K21_4  CU_HXR LCLS L2
BPMS:LI21:501 BPM21501 MONI 66.614688 2081.297200  LI21 K21_4  CU_HXR LCLS L2
XCOR:LI21:502 XC21502 HKIC 67.027488 2081.710000  LI21 K21_5  CU_HXR LCLS L2
YCOR:LI21:503 YC21503 VKIC 67.405288 2082.087800  LI21 K21_5  CU_HXR LCLS L2
KLYS:LI21:51 K21_5B LCAV 72.783288 2087.465800  LI21 K21_5  CU_HXR LCLS L2
KLYS:LI21:51 K21_5C LCAV 75.827388 2090.509900  LI21 K21_5  CU_HXR LCLS L2
KLYS:LI21:51 K21_5D LCAV 78.871488 2093.554000  LI21 K21_5  CU_HXR LCLS L2
QUAD:LI21:601 Q21601 QUAD 78.959088 2093.641600  LI21 K21_5  CU_HXR LCLS L2
BPMS:LI21:601 BPM21601 MONI 78.959088 2093.641600  LI21 K21_5  CU_HXR LCLS L2
XCOR:LI21:602 XC21602 HKIC 79.367488 2094.050000  LI21 K21_6  CU_HXR LCLS L2
YCOR:LI21:603 YC21603 VKIC 79.755988 2094.438500  LI21 K21_6  CU_HXR LCLS L2
KLYS:LI21:61 K21_6B LCAV 85.127688 2099.810200  LI21 K21_6  CU_HXR LCLS L2
KLYS:LI21:61 K21_6C LCAV 88.171788 2102.854300  LI21 K21_6  CU_HXR LCLS L2
KLYS:LI21:61 K21_6D LCAV 91.215888 2105.898400  LI21 K21_6  CU_HXR LCLS L2
QUAD:LI21:701 Q21701 QUAD 91.303488 2105.986000  LI21 K21_6  CU_HXR LCLS L2
BPMS:LI21:701 BPM21701 MONI 91.303488 2105.986000  LI21 K21_6  CU_HXR LCLS L2
XCOR:LI21:702 XC21702 HKIC 91.717488 2106.400000  LI21 K21_7  CU_HXR LCLS L2
YCOR:LI21:703 YC21703 VKIC 91.967488 2106.650000  LI21 K21_7  CU_HXR LCLS L2
KLYS:LI21:71 K21_7B LCAV 97.472088 2112.154600  LI21 K21_7  CU_HXR LCLS L2
KLYS:LI21:71 K21_7C LCAV 100.516188 2115.198700  LI21 K21_7  CU_HXR LCLS L2
KLYS:LI21:71 K21_7D LCAV 103.560288 2118.242800  LI21 K21_7  CU_HXR LCLS L2
QUAD:LI21:801 Q21801 QUAD 103.647888 2118.330400  LI21 K21_7  CU_HXR LCLS L2
BPMS:LI21:801 BPM21801 MONI 103.647888 2118.330400  LI21 K21_7  CU_HXR LCLS L2
XCOR:LI21:802 XC21802 HKIC 104.057488 2118.740000  LI21 K21_8  CU_HXR LCLS L2
YCOR:LI21:803 YC21803 VKIC 104.307488 2118.990000  LI21 K21_8  CU_HXR LCLS L2
KLYS:LI21:81 K21_8B LCAV 109.816488 2124.499000  LI21 K21_8  CU_HXR LCLS L2
KLYS:LI21:81 K21_8C LCAV 112.860588 2127.543100  LI21 K21_8  CU_HXR LCLS L2
XCOR:LI21:900 XC21900 HKIC 115.247488 2129.930000  LI21 K21_8  CU_HXR LCLS L2
YCOR:LI21:900 YC21900 VKIC 115.497488 2130.180000  LI21 K21_8  CU_HXR LCLS L2
QUAD:LI21:901 Q21901 QUAD 116.311388 2130.993900  LI21 K21_8  CU_HXR LCLS L2
BPMS:LI21:901 BPM21901 MONI 116.311388 2130.993900  LI21 K21_8  CU_HXR LCLS L2
KLYS:LI22:11 K22_1A LCAV 121.961588 2136.644100  LI22 K22_1  CU_HXR LCLS L2
KLYS:LI22:11 K22_1B LCAV 125.005688 2139.688200  LI22 K22_1  CU_HXR LCLS L2
KLYS:LI22:11 K22_1C LCAV 128.049788 2142.732300  LI22 K22_1  CU_HXR LCLS L2
KLYS:LI22:11 K22_1D LCAV 131.093888 2145.776400  LI22 K22_1  CU_HXR LCLS L2
QUAD:LI22:201 Q22201 QUAD 131.181488 2145.864000  LI22 K22_1  CU_HXR LCLS L2
BPMS:LI22:201 BPM22201 MONI 131.181488 2145.864000  LI22 K22_1  CU_HXR LCLS L2
XCOR:LI22:202 XC22202 HKIC 131.587488 2146.270000  LI22 K22_2  CU_HXR LCLS L2
YCOR:LI22:203 YC22203 VKIC 131.965688 2146.648200  LI22 K22_2  CU_HXR LCLS L2
KLYS:LI22:21 K22_2B LCAV 137.350088 2152.032600  LI22 K22_2  CU_HXR LCLS L2
